timestamp	variant	onnx_node	act_name	weight_name	rows	k_dim	n_cols	tiles	tile_rows	active_harts	total_wait_s	ops	gops	max_abs	mean_abs	p99_abs	allclose_1e4	allclose_1e3	tile_ok	remote_work	local_run_dir
20260504-122322	opt_struct_dot4_valueh0_tr512_ah16	/encoder/blocks.0/attn/MatMul_1_output_0	/encoder/blocks.0/attn/Softmax_output_0	/encoder/blocks.0/attn/Transpose_2_output_0	1500	1504	64	3	512	16	0.2955024	288768000	0.9772103373779706	4.291534423828125e-06	1.789141634844782e-07	1.1920928955078125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt_struct_dot4_valueh0_tr512_ah16_20260504-122322	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt_struct_dot4_valueh0_tr512_ah16_20260504-122322
20260504-122410	opt_struct_dot4_scoreh0_tr1024_ah16	/encoder/blocks.0/attn/MatMul_output_0	/encoder/blocks.0/attn/Mul_output_0	/encoder/blocks.0/attn/Mul_1_output_0	1500	64	1500	2	1024	16	0.97339	288000000	0.2958731854652297	7.62939453125e-06	4.467678706987499e-07	1.9073486328125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt_struct_dot4_scoreh0_tr1024_ah16_20260504-122410	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt_struct_dot4_scoreh0_tr1024_ah16_20260504-122410
20260504-122728	opt100_i020_mlp2_align_tr1280_ah16	/encoder/blocks.0/mlp/2/MatMul_output_0	/encoder/blocks.0/mlp/1/Mul_1_output_0	onnx::MatMul_783	1500	1536	384	2	1280	16	1.6814049999999998	1769472000	1.0523770299243789	1.430511474609375e-06	5.2007781192742186e-08	2.682209014892578e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i020_mlp2_align_tr1280_ah16_20260504-122728	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i020_mlp2_align_tr1280_ah16_20260504-122728
20260504-122833	opt100_i021_mlp2_novec_tr1280_ah16	/encoder/blocks.0/mlp/2/MatMul_output_0	/encoder/blocks.0/mlp/1/Mul_1_output_0	onnx::MatMul_783	1500	1536	384	2	1280	16	1.857434	1769472000	0.9526432702319436	1.430511474609375e-06	5.2007781192742186e-08	2.682209014892578e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i021_mlp2_novec_tr1280_ah16_20260504-122833	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i021_mlp2_novec_tr1280_ah16_20260504-122833
20260504-122948	opt100_i022_mlp2_align_novec_tr1280_ah16	/encoder/blocks.0/mlp/2/MatMul_output_0	/encoder/blocks.0/mlp/1/Mul_1_output_0	onnx::MatMul_783	1500	1536	384	2	1280	16	1.856398	1769472000	0.9531749118454125	1.430511474609375e-06	5.2007781192742186e-08	2.682209014892578e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i022_mlp2_align_novec_tr1280_ah16_20260504-122948	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i022_mlp2_align_novec_tr1280_ah16_20260504-122948
20260504-123100	opt100_i023_mlp2_ofast_align_novec_tr1280_ah16	/encoder/blocks.0/mlp/2/MatMul_output_0	/encoder/blocks.0/mlp/1/Mul_1_output_0	onnx::MatMul_783	1500	1536	384	2	1280	16	1.7611700000000001	1769472000	1.004713911774559	1.430511474609375e-06	5.2007781192742186e-08	2.682209014892578e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i023_mlp2_ofast_align_novec_tr1280_ah16_20260504-123100	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i023_mlp2_ofast_align_novec_tr1280_ah16_20260504-123100
20260504-123206	opt100_i024_valueh0_align_novec_tr512_ah16	/encoder/blocks.0/attn/MatMul_1_output_0	/encoder/blocks.0/attn/Softmax_output_0	/encoder/blocks.0/attn/Transpose_2_output_0	1500	1504	64	3	512	16	0.40253700000000003	288768000	0.7173700802659133	4.291534423828125e-06	1.789141634844782e-07	1.1920928955078125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i024_valueh0_align_novec_tr512_ah16_20260504-123206	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i024_valueh0_align_novec_tr512_ah16_20260504-123206
20260504-123237	opt100_i025_qkv_align_novec_tr1024_ah16	_v_649	/encoder/blocks.0/attn_ln/LayerNormalization_output_0	_v_648	1500	384	1152	2	1024	16	1.828167	1327104000	0.7259205532098544	6.67572021484375e-06	2.188643009048974e-07	1.430511474609375e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i025_qkv_align_novec_tr1024_ah16_20260504-123237	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i025_qkv_align_novec_tr1024_ah16_20260504-123237
20260504-123501	opt100_i026_scoreh0_align_novec_tr1024_ah16	/encoder/blocks.0/attn/MatMul_output_0	/encoder/blocks.0/attn/Mul_output_0	/encoder/blocks.0/attn/Mul_1_output_0	1500	64	1500	2	1024	16	1.070583	288000000	0.26901230451071984	7.62939453125e-06	4.467678706987499e-07	1.9073486328125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i026_scoreh0_align_novec_tr1024_ah16_20260504-123501	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i026_scoreh0_align_novec_tr1024_ah16_20260504-123501
20260504-123736	opt100_i027_mlp0_align_novec_tr1024_ah16	/encoder/blocks.0/mlp/0/MatMul_output_0	/encoder/blocks.0/mlp_ln/LayerNormalization_output_0	onnx::MatMul_780	1500	384	1536	2	1024	16	2.409093	1769472000	0.7344971738326416	3.814697265625e-06	1.3349009009289148e-07	5.960464477539062e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/opt100_i027_mlp0_align_novec_tr1024_ah16_20260504-123736	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/opt100_i027_mlp0_align_novec_tr1024_ah16_20260504-123736
