timestamp	step	index	op_type	node	elem_count	full_elem_count	tile_offset	src_count	original_src_count	compacted_source	wait_s	host_max_abs	audit_pass	mem_size	required_bytes	hpm3_cycles	hpm4_inst0	hpm5_inst1	hpm6_l2_miss_req	hpm7_icache_req	hpm8_icache_etlink_req	report
20260505-163601	3	19	Split	Split_of_/encoder/blocks.2/attn/query/MatMul_and_/encoder/blocks.2/attn/key/MatMul_and_/encoder/blocks.2/attn/value/MatMul	576000	576000	0	1728000	1728000	False	0.13616	0.0	True	16777216	13846528	1637570	1951421	1951408	108024	599695	628417	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	19	Split	Split_of_/encoder/blocks.2/attn/query/MatMul_and_/encoder/blocks.2/attn/key/MatMul_and_/encoder/blocks.2/attn/value/MatMul	576000	576000	0	1728000	1728000	False	0.136043	0.0	True	16777216	13846528	1622572	1951416	1951413	108024	599469	628283	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	20	Reshape	/encoder/blocks.2/attn/Reshape_1	576000	576000	0	576000	576000	False	0.13638	0.0	True	16777216	9238528	1662655	1951421	1951408	108024	598342	626124	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	21	Reshape	/encoder/blocks.2/attn/Reshape	576000	576000	0	576000	576000	False	0.136443	0.0	True	16777216	9238528	1600131	1951421	1951408	108024	598463	625987	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	22	Transpose	/encoder/blocks.2/attn/Transpose_1	576000	576000	0	576000	576000	False	0.147712	0.0	True	16777216	9238528	8414138	1951416	1951413	666035	638740	15	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	23	Reshape	/encoder/blocks.2/attn/Reshape_2	576000	576000	0	576000	576000	False	0.136378	0.0	True	16777216	9238528	1594012	1951421	1951408	108024	597705	625316	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	24	Transpose	/encoder/blocks.2/attn/Transpose	576000	576000	0	576000	576000	False	0.13638	0.0	True	16777216	9238528	1634891	1951421	1951408	108024	600444	628489	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	25	Transpose	/encoder/blocks.2/attn/Transpose_2	576000	576000	0	576000	576000	False	0.136457	0.0	True	16777216	9238528	1634810	1951421	1951408	108024	600288	627781	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	26	Transpose	/encoder/blocks.2/attn/Transpose_3	576000	576000	0	576000	576000	False	0.136329	0.0	True	16777216	9238528	1599586	1951416	1951413	108024	599709	627148	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	27	Reshape	/encoder/blocks.2/attn/Reshape_3	576000	576000	0	576000	576000	False	0.136411	0.0	True	16777216	9238528	1591289	1951421	1951408	108024	597003	625117	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	28	Split	Split_of_/encoder/blocks.3/attn/query/MatMul_and_/encoder/blocks.3/attn/key/MatMul_and_/encoder/blocks.3/attn/value/MatMul	576000	576000	0	1728000	1728000	False	0.136118	0.0	True	16777216	13846528	1597939	1951421	1951408	108024	80472	15	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	28	Split	Split_of_/encoder/blocks.3/attn/query/MatMul_and_/encoder/blocks.3/attn/key/MatMul_and_/encoder/blocks.3/attn/value/MatMul	576000	576000	0	1728000	1728000	False	0.136102	0.0	True	16777216	13846528	1614430	1951421	1951408	108024	599400	627473	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	28	Split	Split_of_/encoder/blocks.3/attn/query/MatMul_and_/encoder/blocks.3/attn/key/MatMul_and_/encoder/blocks.3/attn/value/MatMul	576000	576000	0	1728000	1728000	False	0.136071	0.0	True	16777216	13846528	1597018	1951421	1951408	108024	598880	627802	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	29	Reshape	/encoder/blocks.3/attn/Reshape_1	576000	576000	0	576000	576000	False	0.136344	0.0	True	16777216	9238528	1589889	1951421	1951408	108024	595972	624038	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	30	Reshape	/encoder/blocks.3/attn/Reshape	576000	576000	0	576000	576000	False	0.136299	0.0	True	16777216	9238528	1594400	1951421	1951408	108024	597311	624541	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	31	Transpose	/encoder/blocks.3/attn/Transpose_1	576000	576000	0	576000	576000	False	0.147682	0.0	True	16777216	9238528	8409998	1951416	1951413	666029	639077	15	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	32	Reshape	/encoder/blocks.3/attn/Reshape_2	576000	576000	0	576000	576000	False	0.136427	0.0	True	16777216	9238528	1589951	1951421	1951408	108024	596893	623853	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	33	Transpose	/encoder/blocks.3/attn/Transpose	576000	576000	0	576000	576000	False	0.136323	0.0	True	16777216	9238528	1636288	1951421	1951408	108024	600764	629292	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	34	Transpose	/encoder/blocks.3/attn/Transpose_2	576000	576000	0	576000	576000	False	0.136314	0.0	True	16777216	9238528	1639074	1951421	1951408	108024	599926	627337	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	35	Transpose	/encoder/blocks.3/attn/Transpose_3	576000	576000	0	576000	576000	False	0.13632	0.0	True	16777216	9238528	1600213	1951416	1951413	108024	599994	627496	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	36	Reshape	/encoder/blocks.3/attn/Reshape_3	576000	576000	0	576000	576000	False	0.136292	0.0	True	16777216	9238528	1589312	1951421	1951408	108024	597163	625282	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	37	Transpose	/0/Transpose	96000	96000	0	96000	96000	False	0.0232791	0.0	True	16777216	1555456	958138	325792	325789	111026	111026	14	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
