variant	wait_s	gops	valid	passes	harts	mask	tokens	dim	hidden	output_sum	slot_sum	ops	log	dump
w100_o00_o3_m00_base	0.244036	2.199966	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o00_o3_m00_base_20260502-051633.log	dump_w100_o00_o3_m00_base_20260502-051633.bin
w100_o03_o3_nounroll_m06_skipread	0.244042	2.199912	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o03_o3_nounroll_m06_skipread_20260502-051633.log	dump_w100_o03_o3_nounroll_m06_skipread_20260502-051633.bin
w100_o07_o3_notreecopy_m06_skipread	0.244068	2.199678	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o07_o3_notreecopy_m06_skipread_20260502-051633.log	dump_w100_o07_o3_notreecopy_m06_skipread_20260502-051633.bin
w100_o00_o3_m06_skipread	0.244069	2.199669	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o00_o3_m06_skipread_20260502-051633.log	dump_w100_o00_o3_m06_skipread_20260502-051633.bin
w100_o07_o3_notreecopy_m08_lastout	0.244170	2.198759	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o07_o3_notreecopy_m08_lastout_20260502-051633.log	dump_w100_o07_o3_notreecopy_m08_lastout_20260502-051633.bin
w100_o03_o3_nounroll_m08_lastout	0.244183	2.198642	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o03_o3_nounroll_m08_lastout_20260502-051633.log	dump_w100_o03_o3_nounroll_m08_lastout_20260502-051633.bin
w100_o03_o3_nounroll_m00_base	0.244188	2.198597	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o03_o3_nounroll_m00_base_20260502-051633.log	dump_w100_o03_o3_nounroll_m00_base_20260502-051633.bin
w100_o03_o3_nounroll_m01_prefstatic	0.244274	2.197823	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o03_o3_nounroll_m01_prefstatic_20260502-051633.log	dump_w100_o03_o3_nounroll_m01_prefstatic_20260502-051633.bin
w100_o00_o3_m08_lastout	0.244323	2.197382	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o00_o3_m08_lastout_20260502-051633.log	dump_w100_o00_o3_m08_lastout_20260502-051633.bin
w100_o00_o3_m01_prefstatic	0.244360	2.197049	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o00_o3_m01_prefstatic_20260502-051633.log	dump_w100_o00_o3_m01_prefstatic_20260502-051633.bin
w100_o07_o3_notreecopy_m01_prefstatic	0.244578	2.195091	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o07_o3_notreecopy_m01_prefstatic_20260502-051633.log	dump_w100_o07_o3_notreecopy_m01_prefstatic_20260502-051633.bin
w100_o08_ofast_m08_lastout	0.245712	2.184960	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o08_ofast_m08_lastout_20260502-051633.log	dump_w100_o08_ofast_m08_lastout_20260502-051633.bin
w100_o06_o3_noipa_m08_lastout	0.256394	2.093929	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o06_o3_noipa_m08_lastout_20260502-051633.log	dump_w100_o06_o3_noipa_m08_lastout_20260502-051633.bin
w100_o01_o3_nosched_m07_prefb_skipread	0.256881	2.089960	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o01_o3_nosched_m07_prefb_skipread_20260502-051633.log	dump_w100_o01_o3_nosched_m07_prefb_skipread_20260502-051633.bin
w100_o01_o3_nosched_m04_prefa_prefb	0.257753	2.082889	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o01_o3_nosched_m04_prefa_prefb_20260502-051633.log	dump_w100_o01_o3_nosched_m04_prefa_prefb_20260502-051633.bin
w100_o01_o3_nosched_m09_prefb_lastout	0.258819	2.074310	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o01_o3_nosched_m09_prefb_lastout_20260502-051633.log	dump_w100_o01_o3_nosched_m09_prefb_lastout_20260502-051633.bin
w100_o01_o3_nosched_m02_prefb	0.260588	2.060229	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o01_o3_nosched_m02_prefb_20260502-051633.log	dump_w100_o01_o3_nosched_m02_prefb_20260502-051633.bin
w100_o01_o3_nosched_m05_prefb_static	0.260675	2.059541	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o01_o3_nosched_m05_prefb_static_20260502-051633.log	dump_w100_o01_o3_nosched_m05_prefb_static_20260502-051633.bin
w100_o01_o3_nosched_m03_prefa	0.263389	2.038319	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o01_o3_nosched_m03_prefa_20260502-051633.log	dump_w100_o01_o3_nosched_m03_prefa_20260502-051633.bin
w100_o01_o3_nosched_m06_skipread	0.265115	2.025049	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o01_o3_nosched_m06_skipread_20260502-051633.log	dump_w100_o01_o3_nosched_m06_skipread_20260502-051633.bin
w100_o01_o3_nosched_m00_base	0.265705	2.020553	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o01_o3_nosched_m00_base_20260502-051633.log	dump_w100_o01_o3_nosched_m00_base_20260502-051633.bin
w100_o01_o3_nosched_m01_prefstatic	0.265765	2.020096	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o01_o3_nosched_m01_prefstatic_20260502-051633.log	dump_w100_o01_o3_nosched_m01_prefstatic_20260502-051633.bin
w100_o01_o3_nosched_m08_lastout	0.268943	1.996226	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o01_o3_nosched_m08_lastout_20260502-051633.log	dump_w100_o01_o3_nosched_m08_lastout_20260502-051633.bin
w100_o09_o2_m04_prefa_prefb	0.335453	1.600436	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o09_o2_m04_prefa_prefb_20260502-051633.log	dump_w100_o09_o2_m04_prefa_prefb_20260502-051633.bin
w100_o09_o2_m05_prefb_static	0.339526	1.581237	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o09_o2_m05_prefb_static_20260502-051633.log	dump_w100_o09_o2_m05_prefb_static_20260502-051633.bin
w100_o09_o2_m03_prefa	0.346791	1.548111	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o09_o2_m03_prefa_20260502-051633.log	dump_w100_o09_o2_m03_prefa_20260502-051633.bin
w100_o09_o2_m08_lastout	0.348345	1.541205	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o09_o2_m08_lastout_20260502-051633.log	dump_w100_o09_o2_m08_lastout_20260502-051633.bin
w100_o09_o2_m00_base	0.348537	1.540356	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o09_o2_m00_base_20260502-051633.log	dump_w100_o09_o2_m00_base_20260502-051633.bin
w100_o09_o2_m01_prefstatic	0.348658	1.539821	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o09_o2_m01_prefstatic_20260502-051633.log	dump_w100_o09_o2_m01_prefstatic_20260502-051633.bin
w100_o09_o2_m06_skipread	0.349633	1.535527	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o09_o2_m06_skipread_20260502-051633.log	dump_w100_o09_o2_m06_skipread_20260502-051633.bin
w100_o09_o2_m07_prefb_skipread	0.354421	1.514783	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o09_o2_m07_prefb_skipread_20260502-051633.log	dump_w100_o09_o2_m07_prefb_skipread_20260502-051633.bin
w100_o09_o2_m09_prefb_lastout	0.354554	1.514215	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o09_o2_m09_prefb_lastout_20260502-051633.log	dump_w100_o09_o2_m09_prefb_lastout_20260502-051633.bin
w100_o09_o2_m02_prefb	0.354748	1.513387	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o09_o2_m02_prefb_20260502-051633.log	dump_w100_o09_o2_m02_prefb_20260502-051633.bin
