variant	tag	harts	kernel_wait_s	gops	summary_ok	done_count	active_mask	output_sum	slot_checksum_sum	ops	hpm_cycles_max	hpm_cycles_sum_active	hpm_inst_dedup	hpm_l2_miss_max	hpm_l2_miss_sum_active	hpm_icache_req_max	hpm_icache_req_sum_active	hpm_icache_etlink_max	hpm_icache_etlink_sum_active	sc_cycles_sum	sc_cycles_max	sc_reads_sum	sc_reads_max	sc_writes_sum	sc_writes_max	ms_cycles_sum	ms_cycles_max	ms_reads_sum	ms_reads_max	ms_writes_sum	ms_writes_max	cycles_per_op_max	inst_per_op_dedup	sc_reads_per_kop	sc_writes_per_kop	ms_reads_per_kop	ms_writes_per_kop
boundary_only_cacheops	dncnn3_bench_boundary_2h	2	3.63974	0.12964090841653525	1	2	0x3	514785	514785	471859200	2538443394	5076886775	36893488147419101779	18446744073709551615	36893488147419103220	68	68	59	59	10152738698	2538184687	13444571	4939287	1972223	515140	31574166807	3946849970	232965	37476	340610	52709	5.379662818908692	78187493530.73778	28.492760128445095	4.1796853807237415	0.4937171936035156	0.721846686469184
boundary_only_cacheops	dncnn3_bench_boundary_4h	4	1.79649	0.2626561795501227	1	4	0xf	514785	514785	471859200	1429140889	4287422618	18446744073709551907	14	26	633	1258	18446744073709551579	36893488147419103158	5715979774	1428994982	13431356	4750062	1964026	515227	17776217682	2222071631	230629	37222	337988	52418	3.0287443563673233	39093746765.36889	28.46475389268663	4.162313673231337	0.48876656426323783	0.7162899441189237
boundary_only_cacheops	dncnn3_bench_boundary_8h	8	0.909676	0.5187112774218513	1	8	0xff	514785	514785	471859200	902030576	5412183386	5130	18446744073709551601	73786976294838206440	1246	4965	18446744073709551602	73786976294838206408	3607751535	901937895	13216248	4194866	2006826	530687	11219800982	1402503314	229314	37083	336886	52311	1.9116519843207465	1.087188720703125e-05	28.008880615234375	4.253018697102864	0.48597971598307294	0.7139545016818576
boundary_only_cacheops	dncnn3_bench_boundary_16h	16	0.462958	1.0192267981112757	1	16	0xffff	514785	514785	471859200	639185688	7670228100	147573952589676414010	18446744073709551610	147573952589676413048	18446744073709550491	147573952589676403057	18446744073709551600	147573952589676412800	2556481146	639120312	13460393	4964463	1983125	527351	7950441887	993825214	228985	37041	336570	52260	1.3546110534667968	312749974122.9511	28.52629131740994	4.202789730495876	0.485282474093967	0.7132848103841146
hidden_unroll	dncnn3_bench_unroll_1h	1	4.70866	0.10021093049827338	1	1	0x1	514785	514785	471859200	3182227222	3182227222	18446744073709551440	18446744073709551574	18446744073709551574	0	0	0	0	12727610203	3181902680	15394709	4516202	1970985	528029	39581801721	4947824485	296151	43599	373481	55886	6.744018601311578	39093746765.36889	32.62564129299588	4.177061716715495	0.6276257832845052	0.7915094163682725
hidden_unroll	dncnn3_bench_unroll_2h	2	3.35244	0.14075097540895587	1	2	0x3	514785	514785	471859200	2370701586	4741403044	18446744073709551324	18446744073709551597	18446744073709551616	18446744073709550340	18446744073709550340	12	12	9481841187	2370460346	16786014	4948135	2008577	603016	29487731906	3686040257	232602	37429	340336	52666	5.02417158762614	39093746765.36889	35.57420094807943	4.256729549831814	0.49294789632161456	0.7212660047743056
hidden_unroll	dncnn3_bench_unroll_4h	4	1.69119	0.2790101644404236	1	4	0xf	514785	514785	471859200	1368637879	4105913630	36893488147419101464	18446744073709551583	18446744073709551591	18446744073709551594	36893488147419103180	18446744073709551580	36893488147419103160	5473994086	1368498564	16741350	4936810	1988432	576379	17023662525	2128000391	230547	37206	338231	52438	2.900521763695611	78187493530.73778	35.47954559326172	4.214036729600695	0.48859278361002606	0.716804928249783
hidden_unroll	dncnn3_bench_unroll_8h	8	0.865099	0.5454395392897229	1	8	0xff	514785	514785	471859200	875126085	5250756485	2179	18446744073709551593	73786976294838206424	638	2525	18446744073709551602	73786976294838206408	3500149132	875037308	15294448	4520835	1971784	574242	10885170764	1360673417	229493	37104	337098	52325	1.8546339352925618	4.617902967664931e-06	32.41316053602431	4.17875501844618	0.48635906643337673	0.7144037882486979
hidden_unroll	dncnn3_bench_unroll_16h	16	0.452458	1.0428795600917653	1	16	0xffff	514785	514785	471859200	632760135	7593121466	110680464442257313359	18446744073709551612	147573952589676412940	18446744073709550748	147573952589676404974	18446744073709551562	147573952589676412496	2530781787	632695461	17332140	4932282	3079335	1651229	7870516785	983834396	228765	37019	336380	52245	1.3409935315450032	234562480592.21335	36.7315928141276	6.525961558024089	0.4848162333170573	0.7128821478949653
skip_final_barrier	dncnn3_bench_skip_finalbar_1h	1	4.82937	0.09770616043086365	1	1	0x1	514785	514785	471859200	3264090377	3264090377	42	3	3	0	0	0	0	13055031551	3263757984	15274965	4918706	1939072	514913	40600054518	5075108540	234404	37619	342170	52862	6.9175092421637645	8.900960286458334e-08	32.37187067667643	4.109429253472222	0.4967668321397569	0.7251527574327257
