variant	harts	kernel_wait_s	gops	output_sum	sc_reads_sum	sc_writes_sum	ms_reads_sum	ms_writes_sum	sc_reads_per_kop	sc_writes_per_kop	ms_reads_per_kop	ms_writes_per_kop
nhwc_interior_direct_o3	16	0.447631	1.0541253845243068	514785	13989807	2075342	228954	336562	29.648265838623047	4.398223029242621	0.48521677652994794	0.7132678561740451
nhwc_all_channels_o3_rejected	1	5.61175	0.0840841448745935	514785	40641065	4962483	235366	343085	86.12964418199327	10.51687240600586	0.49880557590060765	0.7270918952094184
nhwc_all_channels_o3_rejected	2	4.12409	0.11441534981050366	514785	40591994	5064945	233349	341006	86.02564917670355	10.734017690022787	0.49453099568684894	0.7226859198676215
nhwc_all_channels_o3_rejected	4	2.05534	0.22957719890626369	514785	40900125	5142910	230980	338620	86.67866388956706	10.899247063530815	0.4895104302300347	0.7176293267144097
nhwc_all_channels_o3_rejected	8	1.01686	0.46403556045079947	514785	40896139	5142277	229477	336948	86.67021645439996	10.897905561659071	0.48632515801323783	0.7140858968098959
nhwc_all_channels_o3_rejected	16	0.507786	0.9292481478418075	514785	40667875	4923503	229049	336657	86.1864619784885	10.434263017442492	0.48541810777452254	0.7134691874186198
best	1	4.6559	0.10134650658304517	514785	15282585	1955061	234248	342032	32.38801956176758	4.143314361572266	0.4964362250434028	0.7248602973090278
best	2	3.35995	0.1404363755413027	514785	12803957	1948800	232723	340479	27.13512208726671	4.130045572916667	0.49320432874891496	0.7215690612792969
best	4	1.77106	0.2664275631542692	514785	12848059	1955453	230510	338174	27.22858640882704	4.144145117865668	0.48851437038845485	0.7166841295030382
best	8	0.900719	0.5238694864880168	514785	12884171	1983586	229537	337174	27.305117713080513	4.203766716851129	0.4864523145887587	0.7145648532443576
best	16	0.447677	1.0540170703431269	514785	13988556	2074941	228812	336446	29.645614624023438	4.397373199462891	0.4849158393012153	0.7130220201280382
boundary_only_cacheops	1	4.77839	0.09874857431059415	514785	13404857	1939167	271349	360672	28.408595191107857	4.109630584716797	0.57506349351671	0.7643636067708334
boundary_only_cacheops	2	3.63974	0.12964090841653525	514785	13444571	1972223	232965	340610	28.492760128445095	4.1796853807237415	0.4937171936035156	0.721846686469184
boundary_only_cacheops	4	1.79649	0.2626561795501227	514785	13431356	1964026	230629	337988	28.46475389268663	4.162313673231337	0.48876656426323783	0.7162899441189237
boundary_only_cacheops	8	0.909676	0.5187112774218513	514785	13216248	2006826	229314	336886	28.008880615234375	4.253018697102864	0.48597971598307294	0.7139545016818576
boundary_only_cacheops	16	0.462958	1.0192267981112757	514785	13460393	1983125	228985	336570	28.52629131740994	4.202789730495876	0.485282474093967	0.7132848103841146
