variant	tag	harts	hart	minion	thread	cycles	retired_inst0	retired_inst1	l2_miss_req	minion_icache_req	icache_etlink_req
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	0	0	0	798481031	18446744073709551351	18446744073709550814	18446744073709551612	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	1	0	1	798481008	18446744073709550936	365	18446744073709551582	18446744073709551016	18446744073709551587
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	2	1	0	0	0	0	0	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	3	1	1	798481025	18446744073709550942	369	18446744073709551582	18446744073709551018	18446744073709551587
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	4	2	0	798481037	18446744073709551353	18446744073709550814	18446744073709551612	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	5	2	1	798481025	18446744073709550937	345	18446744073709551582	18446744073709551008	18446744073709551587
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	6	3	0	0	0	0	0	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	7	3	1	798481025	18446744073709550937	358	18446744073709551582	18446744073709551015	18446744073709551587
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	8	4	0	798481005	18446744073709551312	18446744073709550814	18446744073709551612	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	9	4	1	798481018	18446744073709550876	318	18446744073709551582	18446744073709550996	18446744073709551587
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	10	5	0	0	0	0	0	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	11	5	1	798481018	18446744073709550866	298	18446744073709551582	18446744073709550988	18446744073709551587
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	12	6	0	798481006	18446744073709551312	18446744073709550814	18446744073709551612	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	13	6	1	798481033	18446744073709550885	313	18446744073709551582	18446744073709550996	18446744073709551587
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	14	7	0	0	0	0	0	0	0
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	15	7	1	798481024	18446744073709550863	309	18446744073709551582	18446744073709550991	18446744073709551587
nhwc_no_prebar_o3	dncnn3_bench_nhwc_1h	1	0	0	0	4481641207	1091	159	18446744073709551590	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_2h	2	0	0	0	3199360064	642	814	34	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_2h	2	1	0	1	3199360197	18446744073709551327	18446744073709551325	15	124	18446744073709551597
nhwc_no_prebar_o3	dncnn3_bench_nhwc_4h	4	0	0	0	1780101768	555	18446744073709550827	18446744073709551569	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_4h	4	1	0	1	1780101747	18446744073709550932	720	18446744073709551535	18446744073709551415	18446744073709551585
nhwc_no_prebar_o3	dncnn3_bench_nhwc_4h	4	2	1	0	0	0	0	0	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_4h	4	3	1	1	1780101764	18446744073709550823	740	18446744073709551535	18446744073709551421	18446744073709551585
nhwc_no_prebar_o3	dncnn3_bench_nhwc_8h	8	0	0	0	1100687716	865	466	42	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_8h	8	1	0	1	1100687705	876	919	22	794	18446744073709551593
nhwc_no_prebar_o3	dncnn3_bench_nhwc_8h	8	2	1	0	0	0	0	0	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_8h	8	3	1	1	1100687698	888	939	22	800	18446744073709551593
nhwc_no_prebar_o3	dncnn3_bench_nhwc_8h	8	4	2	0	1100687715	866	466	42	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_8h	8	5	2	1	1100687698	760	918	22	798	18446744073709551593
nhwc_no_prebar_o3	dncnn3_bench_nhwc_8h	8	6	3	0	0	0	0	0	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_8h	8	7	3	1	1100687683	739	905	22	789	18446744073709551593
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	0	0	0	809053877	18446744073709550560	18446744073709550985	18446744073709551574	0	0
nhwc_no_prebar_o3	dncnn3_bench_nhwc_16h	16	1	0	1	809053884	18446744073709550816	18446744073709551197	18446744073709551588	869	18446744073709551571
