exp_id	batch	variant	tile	harts	passes	wait_s	gops	ops	allclose	bit_exact	max_abs	mean_abs	output_hash	reference_hash	done_count	magic_ok	status	flags	macros	dump	log	build_at	run_at
17	2_fused64x2	fused_o2	64	16	8	26.756600	1.628086	43562041344	True	False	0.000001	0.000000	0xf1811481	0xf03a7637	16	True	ok	-O2	DNCNN_VPU_FUSED64X2=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/dump_e017_fused_o2_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/run_e017_fused_o2_t64_h16_p8.log	2026-05-02T17:05:04	2026-05-02T17:05:19
18	2_fused64x2	fused_o3_unroll_movestores	64	16	8	21.308400	2.044360	43562041344	True	False	0.000001	0.000000	0xf1811481	0xf03a7637	16	True	ok	-O3 -funroll-loops -fmove-loop-stores	DNCNN_VPU_FUSED64X2=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/dump_e018_fused_o3_unroll_movestores_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/run_e018_fused_o3_unroll_movestores_t64_h16_p8.log	2026-05-02T17:05:04	2026-05-02T17:05:19
19	2_fused64x2	fused_o3_unroll_predcomm	64	16	8	21.304300	2.044753	43562041344	True	False	0.000001	0.000000	0xf1811481	0xf03a7637	16	True	ok	-O3 -funroll-loops -fpredictive-commoning	DNCNN_VPU_FUSED64X2=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/dump_e019_fused_o3_unroll_predcomm_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/run_e019_fused_o3_unroll_predcomm_t64_h16_p8.log	2026-05-02T17:05:04	2026-05-02T17:05:19
20	2_fused64x2	fused_o3_unroll_no_distrib	64	16	8	21.303200	2.044859	43562041344	True	False	0.000001	0.000000	0xf1811481	0xf03a7637	16	True	ok	-O3 -funroll-loops -fno-tree-loop-distribute-patterns	DNCNN_VPU_FUSED64X2=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/dump_e020_fused_o3_unroll_no_distrib_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-170504/run_e020_fused_o3_unroll_no_distrib_t64_h16_p8.log	2026-05-02T17:05:04	2026-05-02T17:05:19
21	3_fused9tap	f9t_o3_unroll	64	16	8	18.420100	2.364919	43562041344	True	False	0.000002	0.000000	0x14bb9bae	0xf03a7637	16	True	ok	-O3 -funroll-loops	DNCNN_VPU_FUSED9TAP=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/dump_e021_f9t_o3_unroll_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/run_e021_f9t_o3_unroll_t64_h16_p8.log	2026-05-02T17:22:24	2026-05-02T17:22:51
22	3_fused9tap	f9t_o3_unroll_rename	64	16	8	18.428100	2.363892	43562041344	True	False	0.000002	0.000000	0x14bb9bae	0xf03a7637	16	True	ok	-O3 -funroll-loops -frename-registers	DNCNN_VPU_FUSED9TAP=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/dump_e022_f9t_o3_unroll_rename_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/run_e022_f9t_o3_unroll_rename_t64_h16_p8.log	2026-05-02T17:22:24	2026-05-02T17:22:51
23	3_fused9tap	f9t_o3_unroll_noipa	64	16	8	18.414600	2.365625	43562041344	True	False	0.000002	0.000000	0x14bb9bae	0xf03a7637	16	True	ok	-O3 -funroll-loops -fno-ipa-cp -fno-ipa-sra	DNCNN_VPU_FUSED9TAP=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/dump_e023_f9t_o3_unroll_noipa_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/run_e023_f9t_o3_unroll_noipa_t64_h16_p8.log	2026-05-02T17:22:24	2026-05-02T17:22:51
24	3_fused9tap	f9t_o3_unroll_inline2k	64	16	8	18.438700	2.362533	43562041344	True	False	0.000002	0.000000	0x14bb9bae	0xf03a7637	16	True	ok	-O3 -funroll-loops -finline-limit=2000	DNCNN_VPU_FUSED9TAP=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/dump_e024_f9t_o3_unroll_inline2k_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/run_e024_f9t_o3_unroll_inline2k_t64_h16_p8.log	2026-05-02T17:22:24	2026-05-02T17:22:51
25	3_fused9tap	f9t_o3_unroll_align64	64	16	8	17.979900	2.422819	43562041344	True	False	0.000002	0.000000	0x14bb9bae	0xf03a7637	16	True	ok	-O3 -funroll-loops -falign-functions=64 -falign-loops=64	DNCNN_VPU_FUSED9TAP=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/dump_e025_f9t_o3_unroll_align64_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/run_e025_f9t_o3_unroll_align64_t64_h16_p8.log	2026-05-02T17:22:24	2026-05-02T17:22:51
26	3_fused9tap	f9t_o3_unroll_movestores	64	16	8	18.424700	2.364328	43562041344	True	False	0.000002	0.000000	0x14bb9bae	0xf03a7637	16	True	ok	-O3 -funroll-loops -fmove-loop-stores	DNCNN_VPU_FUSED9TAP=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/dump_e026_f9t_o3_unroll_movestores_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/run_e026_f9t_o3_unroll_movestores_t64_h16_p8.log	2026-05-02T17:22:24	2026-05-02T17:22:51
27	3_fused9tap	f9t_o3	64	16	8	20.131900	2.163832	43562041344	True	False	0.000002	0.000000	0x14bb9bae	0xf03a7637	16	True	ok	-O3	DNCNN_VPU_FUSED9TAP=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/dump_e027_f9t_o3_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/run_e027_f9t_o3_t64_h16_p8.log	2026-05-02T17:22:24	2026-05-02T17:22:51
28	3_fused9tap	f9t_o2_unroll	64	16	8	18.191200	2.394677	43562041344	True	False	0.000002	0.000000	0x14bb9bae	0xf03a7637	16	True	ok	-O2 -funroll-loops	DNCNN_VPU_FUSED9TAP=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/dump_e028_f9t_o2_unroll_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/run_e028_f9t_o2_unroll_t64_h16_p8.log	2026-05-02T17:22:24	2026-05-02T17:22:51
29	3_fused9tap	f9t_combined_o3_unroll_rename_noipa	64	16	8	18.419700	2.364970	43562041344	True	False	0.000002	0.000000	0x14bb9bae	0xf03a7637	16	True	ok	-O3 -funroll-loops -frename-registers -fno-ipa-cp -fno-ipa-sra	DNCNN_VPU_FUSED9TAP=1	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/dump_e029_f9t_combined_o3_unroll_rename_noipa_t64_h16_p8.bin	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/experiment-logs/20260502-172224/run_e029_f9t_combined_o3_unroll_rename_noipa_t64_h16_p8.log	2026-05-02T17:22:24	2026-05-02T17:22:51
