index	op_type	node	case_label	elem_count	full_elem_count	tile_offset	rows	cols	required_bytes	wait_s	wall_s	host_max_abs	host_mean_abs	threshold	audit_pass	hpm3_cycles	hpm4_inst0	hpm5_inst1	hpm6_l2_miss_req	hpm7_icache_req	hpm8_icache_etlink_req
70	Add	/encoder/blocks.3/Add_1		576000	576000	0	1	576000	9238528	0.179183	0.4868011474609375	0.0	0.0	2e-06	True	6153912	5480845	5480832	108036	4578985	11
71	Add	/0/0_1/Add		96000	96000	0	1	96000	1555456	0.029469	0.3310697078704834	0.0	0.0	2e-06	True	1027967	913840	913837	18036	2196	11
72	Add	/0/1_1/Add		96000	96000	0	1	96000	1555456	0.0295085	0.3234686851501465	0.0	0.0	2e-06	True	1028580	913840	913837	18036	2252	11
73	Add	/0/2_1/Add		96000	96000	0	1	96000	1555456	0.0293214	0.3312842845916748	0.0	0.0	2e-06	True	1028989	913840	913837	18036	763785	779214
74	Add	/0/3_1/Add		96000	96000	0	1	96000	1555456	0.0292758	0.3249073028564453	0.0	0.0	2e-06	True	1028207	913845	913832	18036	763714	11
75	Add	/0/4_1/Add		96000	96000	0	1	96000	1555456	0.0294493	0.32927393913269043	0.0	0.0	2e-06	True	1028325	913840	913837	18036	2251	11
76	Add	/0/5_1/Add		96000	96000	0	1	96000	1555456	0.0293976	0.3233151435852051	0.0	0.0	2e-06	True	1028405	913845	913832	18036	763860	11
77	Add	/1/0_1/Add		96000	96000	0	1	96000	1555456	0.029297	0.327533483505249	0.0	0.0	2e-06	True	1028231	913840	913837	18036	763531	779813
78	Add	/1/1_1/Add		96000	96000	0	1	96000	1555456	0.0293969	0.33243274688720703	0.0	0.0	2e-06	True	1027743	913840	913837	18036	763821	780521
79	Add	/1/2_1/Add		96000	96000	0	1	96000	1555456	0.0293414	0.32808423042297363	0.0	0.0	2e-06	True	1028490	913840	913837	18036	3508	11
80	Add	/1/3_1/Add		96000	96000	0	1	96000	1555456	0.0293122	0.3195760250091553	0.0	0.0	2e-06	True	1028601	913840	913837	18036	3102	11
81	Add	/1/4_1/Add		96000	96000	0	1	96000	1555456	0.0293473	0.32528138160705566	0.0	0.0	2e-06	True	1028062	913840	913837	18036	3173	11
82	Add	/1/5_1/Add		96000	96000	0	1	96000	1555456	0.0294347	0.33145904541015625	0.0	0.0	2e-06	True	1027891	913845	913832	18036	2090	11
83	Add	/2/0_1/Add		96000	96000	0	1	96000	1555456	0.0294603	0.32349252700805664	0.0	0.0	2e-06	True	1028328	913840	913837	18036	763576	779165
84	Add	/2/1_1/Add		96000	96000	0	1	96000	1555456	0.0293003	0.33245110511779785	0.0	0.0	2e-06	True	1027602	913845	913832	18036	763581	11
85	Add	/2/2_1/Add		96000	96000	0	1	96000	1555456	0.0295147	0.3324427604675293	0.0	0.0	2e-06	True	1027929	913845	913832	18036	2088	11
86	Add	/2/3_1/Add		96000	96000	0	1	96000	1555456	0.0294174	0.32913899421691895	0.0	0.0	2e-06	True	1028373	913845	913832	18036	3401	11
87	Add	/2/4_1/Add		96000	96000	0	1	96000	1555456	0.0292671	0.3236391544342041	0.0	0.0	2e-06	True	1028064	913840	913837	18036	3595	11
88	Add	/2/5_1/Add		96000	96000	0	1	96000	1555456	0.029459	0.32523322105407715	0.0	0.0	2e-06	True	1027948	913845	913832	18036	2412	11
89	Add	/3/0_1/Add		96000	96000	0	1	96000	1555456	0.0293218	0.33901548385620117	0.0	0.0	2e-06	True	1027944	913840	913837	18036	2709	11
90	Add	/3/1_1/Add		96000	96000	0	1	96000	1555456	0.029375	0.33138036727905273	0.0	0.0	2e-06	True	1027645	913840	913837	18036	2160	11
91	Add	/3/2_1/Add		96000	96000	0	1	96000	1555456	0.0292871	0.32311201095581055	0.0	0.0	2e-06	True	1028503	913840	913837	18036	2314	11
92	Add	/3/3_1/Add		96000	96000	0	1	96000	1555456	0.0294301	0.3295304775238037	0.0	0.0	2e-06	True	1028557	913840	913837	18036	763468	779734
93	Add	/3/4_1/Add		96000	96000	0	1	96000	1555456	0.0292991	0.3228452205657959	0.0	0.0	2e-06	True	1028374	913840	913837	18036	3480	11
94	Add	/3/5_1/Add		96000	96000	0	1	96000	1555456	0.0292843	0.321030855178833	0.0	0.0	2e-06	True	1027654	913845	913832	18036	2968	11
