variant	wait_s	gops	valid	passes	harts	mask	output_sum	slot_sum	ops	log	dump
v3100_o07_o3_notreecopy_m05_skipfinal_prefw	0.202863	2.325999	1	8	16	0xffff	514073	514073	471859200	run_v3100_o07_o3_notreecopy_m05_skipfinal_prefw_20260502-044159.log	dump_v3100_o07_o3_notreecopy_m05_skipfinal_prefw_20260502-044159.bin
v3100_o03_o3_nounroll_m05_skipfinal_prefw	0.202881	2.325793	1	8	16	0xffff	514073	514073	471859200	run_v3100_o03_o3_nounroll_m05_skipfinal_prefw_20260502-044159.log	dump_v3100_o03_o3_nounroll_m05_skipfinal_prefw_20260502-044159.bin
v3100_o04_o3_align32_m06_skipfinal_skipw	0.202889	2.325701	1	8	16	0xffff	514073	514073	471859200	run_v3100_o04_o3_align32_m06_skipfinal_skipw_20260502-044159.log	dump_v3100_o04_o3_align32_m06_skipfinal_skipw_20260502-044159.bin
v3100_o08_ofast_m05_skipfinal_prefw	0.202973	2.324739	1	8	16	0xffff	514073	514073	471859200	run_v3100_o08_ofast_m05_skipfinal_prefw_20260502-044159.log	dump_v3100_o08_ofast_m05_skipfinal_prefw_20260502-044159.bin
v3100_o07_o3_notreecopy_m07_lastonly_prefw	0.203146	2.322759	1	8	16	0xffff	514073	514073	471859200	run_v3100_o07_o3_notreecopy_m07_lastonly_prefw_20260502-044159.log	dump_v3100_o07_o3_notreecopy_m07_lastonly_prefw_20260502-044159.bin
v3100_o06_o3_noipa_m02_skipw	0.203151	2.322702	1	8	16	0xffff	514073	514073	471859200	run_v3100_o06_o3_noipa_m02_skipw_20260502-044159.log	dump_v3100_o06_o3_noipa_m02_skipw_20260502-044159.bin
v3100_o02_o3_unroll_m00_base	0.203162	2.322576	1	8	16	0xffff	514073	514073	471859200	run_v3100_o02_o3_unroll_m00_base_20260502-044159.log	dump_v3100_o02_o3_unroll_m00_base_20260502-044159.bin
v3100_o02_o3_unroll_m01_prefw	0.203247	2.321605	1	8	16	0xffff	514073	514073	471859200	run_v3100_o02_o3_unroll_m01_prefw_20260502-044159.log	dump_v3100_o02_o3_unroll_m01_prefw_20260502-044159.bin
v3100_o07_o3_notreecopy_m02_skipw	0.203251	2.321559	1	8	16	0xffff	514073	514073	471859200	run_v3100_o07_o3_notreecopy_m02_skipw_20260502-044159.log	dump_v3100_o07_o3_notreecopy_m02_skipw_20260502-044159.bin
v3100_o03_o3_nounroll_m02_skipw	0.203254	2.321525	1	8	16	0xffff	514073	514073	471859200	run_v3100_o03_o3_nounroll_m02_skipw_20260502-044159.log	dump_v3100_o03_o3_nounroll_m02_skipw_20260502-044159.bin
v3100_o00_o3_m02_skipw	0.203409	2.319756	1	8	16	0xffff	514073	514073	471859200	run_v3100_o00_o3_m02_skipw_20260502-044159.log	dump_v3100_o00_o3_m02_skipw_20260502-044159.bin
v3100_o02_o3_unroll_m06_skipfinal_skipw	0.203418	2.319653	1	8	16	0xffff	514073	514073	471859200	run_v3100_o02_o3_unroll_m06_skipfinal_skipw_20260502-044159.log	dump_v3100_o02_o3_unroll_m06_skipfinal_skipw_20260502-044159.bin
v3100_o05_o3_align64_m02_skipw	0.203478	2.318969	1	8	16	0xffff	514073	514073	471859200	run_v3100_o05_o3_align64_m02_skipw_20260502-044159.log	dump_v3100_o05_o3_align64_m02_skipw_20260502-044159.bin
v3100_o04_o3_align32_m02_skipw	0.203606	2.317511	1	8	16	0xffff	514073	514073	471859200	run_v3100_o04_o3_align32_m02_skipw_20260502-044159.log	dump_v3100_o04_o3_align32_m02_skipw_20260502-044159.bin
v3100_o05_o3_align64_m01_prefw	0.203703	2.316408	1	8	16	0xffff	514073	514073	471859200	run_v3100_o05_o3_align64_m01_prefw_20260502-044159.log	dump_v3100_o05_o3_align64_m01_prefw_20260502-044159.bin
v3100_o07_o3_notreecopy_m09_accfinal_prefw	0.203753	2.315839	1	8	16	0xffff	514073	514073	471859200	run_v3100_o07_o3_notreecopy_m09_accfinal_prefw_20260502-044159.log	dump_v3100_o07_o3_notreecopy_m09_accfinal_prefw_20260502-044159.bin
v3100_o03_o3_nounroll_m09_accfinal_prefw	0.203764	2.315714	1	8	16	0xffff	514073	514073	471859200	run_v3100_o03_o3_nounroll_m09_accfinal_prefw_20260502-044159.log	dump_v3100_o03_o3_nounroll_m09_accfinal_prefw_20260502-044159.bin
v3100_o04_o3_align32_m09_accfinal_prefw	0.203780	2.315532	1	8	16	0xffff	514073	514073	471859200	run_v3100_o04_o3_align32_m09_accfinal_prefw_20260502-044159.log	dump_v3100_o04_o3_align32_m09_accfinal_prefw_20260502-044159.bin
v3100_o06_o3_noipa_m09_accfinal_prefw	0.203870	2.314510	1	8	16	0xffff	514073	514073	471859200	run_v3100_o06_o3_noipa_m09_accfinal_prefw_20260502-044159.log	dump_v3100_o06_o3_noipa_m09_accfinal_prefw_20260502-044159.bin
v3100_o05_o3_align64_m09_accfinal_prefw	0.203875	2.314453	1	8	16	0xffff	514073	514073	471859200	run_v3100_o05_o3_align64_m09_accfinal_prefw_20260502-044159.log	dump_v3100_o05_o3_align64_m09_accfinal_prefw_20260502-044159.bin
