variant	wait_s	gops	valid	passes	harts	mask	width	height	channels	disparities	output_sum	slot_sum	ops	log	dump
s100_o08_ofast_m09_prefl_lastout	0.229217	2.195808	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o08_ofast_m09_prefl_lastout_20260502-051007.log	dump_s100_o08_ofast_m09_prefl_lastout_20260502-051007.bin
s100_o07_o3_notreecopy_m05_skipread_lastout	0.231132	2.177615	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o07_o3_notreecopy_m05_skipread_lastout_20260502-051007.log	dump_s100_o07_o3_notreecopy_m05_skipread_lastout_20260502-051007.bin
s100_o03_o3_nounroll_m05_skipread_lastout	0.231192	2.177050	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o03_o3_nounroll_m05_skipread_lastout_20260502-051007.log	dump_s100_o03_o3_nounroll_m05_skipread_lastout_20260502-051007.bin
s100_o00_o3_m05_skipread_lastout	0.231253	2.176475	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o00_o3_m05_skipread_lastout_20260502-051007.log	dump_s100_o00_o3_m05_skipread_lastout_20260502-051007.bin
s100_o05_o3_align64_m05_skipread_lastout	0.231605	2.173168	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o05_o3_align64_m05_skipread_lastout_20260502-051007.log	dump_s100_o05_o3_align64_m05_skipread_lastout_20260502-051007.bin
s100_o06_o3_noipa_m05_skipread_lastout	0.231708	2.172202	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o06_o3_noipa_m05_skipread_lastout_20260502-051007.log	dump_s100_o06_o3_noipa_m05_skipread_lastout_20260502-051007.bin
s100_o02_o3_unroll_m03_skipread	0.232264	2.167002	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o02_o3_unroll_m03_skipread_20260502-051007.log	dump_s100_o02_o3_unroll_m03_skipread_20260502-051007.bin
s100_o03_o3_nounroll_m03_skipread	0.237895	2.115709	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o03_o3_nounroll_m03_skipread_20260502-051007.log	dump_s100_o03_o3_nounroll_m03_skipread_20260502-051007.bin
s100_o00_o3_m03_skipread	0.238013	2.114660	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o00_o3_m03_skipread_20260502-051007.log	dump_s100_o00_o3_m03_skipread_20260502-051007.bin
s100_o07_o3_notreecopy_m03_skipread	0.238013	2.114660	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o07_o3_notreecopy_m03_skipread_20260502-051007.log	dump_s100_o07_o3_notreecopy_m03_skipread_20260502-051007.bin
s100_o06_o3_noipa_m03_skipread	0.238644	2.109068	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o06_o3_noipa_m03_skipread_20260502-051007.log	dump_s100_o06_o3_noipa_m03_skipread_20260502-051007.bin
s100_o04_o3_align32_m03_skipread	0.239060	2.105398	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o04_o3_align32_m03_skipread_20260502-051007.log	dump_s100_o04_o3_align32_m03_skipread_20260502-051007.bin
s100_o05_o3_align64_m03_skipread	0.239475	2.101750	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o05_o3_align64_m03_skipread_20260502-051007.log	dump_s100_o05_o3_align64_m03_skipread_20260502-051007.bin
s100_o05_o3_align64_m00_base	0.240484	2.092931	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o05_o3_align64_m00_base_20260502-051007.log	dump_s100_o05_o3_align64_m00_base_20260502-051007.bin
s100_o04_o3_align32_m00_base	0.240530	2.092531	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o04_o3_align32_m00_base_20260502-051007.log	dump_s100_o04_o3_align32_m00_base_20260502-051007.bin
s100_o03_o3_nounroll_m07_prefl_skipread	0.240557	2.092296	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o03_o3_nounroll_m07_prefl_skipread_20260502-051007.log	dump_s100_o03_o3_nounroll_m07_prefl_skipread_20260502-051007.bin
s100_o07_o3_notreecopy_m07_prefl_skipread	0.240674	2.091279	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o07_o3_notreecopy_m07_prefl_skipread_20260502-051007.log	dump_s100_o07_o3_notreecopy_m07_prefl_skipread_20260502-051007.bin
s100_o05_o3_align64_m02_prefl	0.240872	2.089560	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o05_o3_align64_m02_prefl_20260502-051007.log	dump_s100_o05_o3_align64_m02_prefl_20260502-051007.bin
s100_o00_o3_m07_prefl_skipread	0.240964	2.088762	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o00_o3_m07_prefl_skipread_20260502-051007.log	dump_s100_o00_o3_m07_prefl_skipread_20260502-051007.bin
s100_o04_o3_align32_m02_prefl	0.240981	2.088615	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o04_o3_align32_m02_prefl_20260502-051007.log	dump_s100_o04_o3_align32_m02_prefl_20260502-051007.bin
s100_o04_o3_align32_m07_prefl_skipread	0.241295	2.085897	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o04_o3_align32_m07_prefl_skipread_20260502-051007.log	dump_s100_o04_o3_align32_m07_prefl_skipread_20260502-051007.bin
s100_o05_o3_align64_m07_prefl_skipread	0.241305	2.085810	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o05_o3_align64_m07_prefl_skipread_20260502-051007.log	dump_s100_o05_o3_align64_m07_prefl_skipread_20260502-051007.bin
s100_o07_o3_notreecopy_m00_base	0.241312	2.085750	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o07_o3_notreecopy_m00_base_20260502-051007.log	dump_s100_o07_o3_notreecopy_m00_base_20260502-051007.bin
s100_o03_o3_nounroll_m00_base	0.241380	2.085162	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o03_o3_nounroll_m00_base_20260502-051007.log	dump_s100_o03_o3_nounroll_m00_base_20260502-051007.bin
s100_o00_o3_m00_base	0.241381	2.085154	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o00_o3_m00_base_20260502-051007.log	dump_s100_o00_o3_m00_base_20260502-051007.bin
s100_o00_o3_m02_prefl	0.241561	2.083600	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o00_o3_m02_prefl_20260502-051007.log	dump_s100_o00_o3_m02_prefl_20260502-051007.bin
s100_o07_o3_notreecopy_m02_prefl	0.241597	2.083289	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o07_o3_notreecopy_m02_prefl_20260502-051007.log	dump_s100_o07_o3_notreecopy_m02_prefl_20260502-051007.bin
s100_o06_o3_noipa_m07_prefl_skipread	0.241659	2.082755	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o06_o3_noipa_m07_prefl_skipread_20260502-051007.log	dump_s100_o06_o3_noipa_m07_prefl_skipread_20260502-051007.bin
s100_o03_o3_nounroll_m02_prefl	0.241718	2.082247	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o03_o3_nounroll_m02_prefl_20260502-051007.log	dump_s100_o03_o3_nounroll_m02_prefl_20260502-051007.bin
s100_o06_o3_noipa_m00_base	0.242079	2.079141	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o06_o3_noipa_m00_base_20260502-051007.log	dump_s100_o06_o3_noipa_m00_base_20260502-051007.bin
s100_o06_o3_noipa_m02_prefl	0.242529	2.075284	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o06_o3_noipa_m02_prefl_20260502-051007.log	dump_s100_o06_o3_noipa_m02_prefl_20260502-051007.bin
s100_o08_ofast_m08_prefr_lastout	0.242949	2.071696	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o08_ofast_m08_prefr_lastout_20260502-051007.log	dump_s100_o08_ofast_m08_prefr_lastout_20260502-051007.bin
s100_o02_o3_unroll_m01_prefr	0.243735	2.065015	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o02_o3_unroll_m01_prefr_20260502-051007.log	dump_s100_o02_o3_unroll_m01_prefr_20260502-051007.bin
s100_o08_ofast_m06_prefr_skipread	0.243994	2.062823	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o08_ofast_m06_prefr_skipread_20260502-051007.log	dump_s100_o08_ofast_m06_prefr_skipread_20260502-051007.bin
